SKU|Producto|Stock|PVP|Rubro
BAJA100|PAQUETE POR 100 BAJALENGUAS ADULTOS|207|3781|PAPELERA - EMBALAJES - TAKE AW
C4303X2+C4304SURT|MESA PLASTICO INFANTIL COLOMBRARO + 2 SILLITAS CAROLINA PRM  COMBINACION (CONSULTE)|156|6578|General
C1955NEG|TAPA P/CESTO RATAN CHICO (ART 953 CH) NEGRO|154|4550|COLOMBRARO SINCRO STOCK
C700315BL|ORGANIZADOR DE CUBIERTOS EXTENSIBLE COLOMBRARO 700315 PRM  BLANCO|146|6866|General
Y115AP40|FLAP Ø 115 MM - ÓXIDO DE ALUMINIO - PLANO - FIBRA DE VIDRIO - GRANO 40|140|2595|DISCOS ALIAFOR
+13|CAFÉ PEDRA AZUL 100% ARABIGO - TOSTADO NATURAL 1 KG FRIKAF  GRANO|135|86575|General
C356BL|ORGANIZADOR CUADRADO CHICO9.5X9.5X5 BLANCO|129|2270|COLOMBRARO SINCRO STOCK
C9242.|COL BOX 42 LTS|123|20110|COLOMBRARO SINCRO STOCK
CIN001|CINTA ADHESIVA TRANSPARENTE 48 X 100|120|2420|PAPELERA - EMBALAJES - TAKE AW
C9234.|COL BOX 34 LTS (STOCKEAR SIN TAPA)|119|22730|COLOMBRARO SINCRO STOCK
REUTILIZAR|REUTILIZAR - ERA 1925NE|113|4620|General
C9730NEG|TARRO RING STAR 500 CM3 TAPA NEGRA|110|2840|COLOMBRARO SINCRO STOCK
FRR2|CAFE GRANO FRIKAF TOSTADO BRASIL PREMIUM X 1 KG LANZAMIENTO  EN GRANOS|107|69826|General
FV22-1|1 KG BLACK PREMIUM (50% ITALIANO-50%) LISTA VERDE|103|50820|01 LISTA VERDE FRIKAF
4314|MESA RECTANGULAR 140 CM X 80 CM|102|2246|General
C9348GR|ARMARIO CON ESCOBERO LINEA TABLEADA COLOMBRARO  GRIS CLARO|101|40150|General
FV23-1|1KG CAFE NATURAL CLASICO LISTA VERDE|100|50820|01 LISTA VERDE FRIKAF
FV23-2|1/2 KG CAFE NATURAL CLASICO LISTA VERDE|100|26620|01 LISTA VERDE FRIKAF
FV23-4|1/4 KG CAFE NATURAL CLASICO LISTA VERDE|100|13310|01 LISTA VERDE FRIKAF
FV2-4|BRASIL SELECCION 1/4 KG LISTA VERDE|100|12705|01 LISTA VERDE FRIKAF
